Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,08/12/1993 00:00,239.01,-0.002504069,-0.008934111,0.019266442,0,0.003893685,-0.019218795,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,09/12/1993 00:00,242.37,0.014057989,-0.002504069,-0.008934111,0.019266442,0,0.003893685,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,12/12/1993 00:00,242.37,0,0.014057989,-0.002504069,-0.008934111,0.019266442,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/12/1993 00:00,240.32,-0.008458143,0,0.014057989,-0.002504069,-0.008934111,0.019266442,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/12/1993 00:00,243.29,0.012358522,-0.008458143,0,0.014057989,-0.002504069,-0.008934111,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,15/12/1993 00:00,242.37,-0.003781495,0.012358522,-0.008458143,0,0.014057989,-0.002504069,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,16/12/1993 00:00,244.86,0.010273549,-0.003781495,0.012358522,-0.008458143,0,0.014057989,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,19/12/1993 00:00,244.86,0,0.010273549,-0.003781495,0.012358522,-0.008458143,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/12/1993 00:00,242.73,-0.008698848,0,0.010273549,-0.003781495,0.012358522,-0.008458143,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/12/1993 00:00,246.25,0.01450171,-0.008698848,0,0.010273549,-0.003781495,0.012358522,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,22/12/1993 00:00,248.6,0.009543147,0.01450171,-0.008698848,0,0.010273549,-0.003781495,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,23/12/1993 00:00,250.72,0.008527755,0.009543147,0.01450171,-0.008698848,0,0.010273549,Thursday,0,0,0,0,,,,,
