"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2012","8,190.2","8,202.8","8,225.0","8,155.0","","-0.26%"
"10/25/2012","8,211.9","8,231.5","8,258.7","8,166.2","","0.40%"
"10/24/2012","8,179.3","8,219.9","8,237.4","8,169.1","","-0.20%"
"10/23/2012","8,195.3","8,252.9","8,252.9","8,152.8","","-1.61%"
"10/22/2012","8,329.2","8,320.8","8,345.4","8,266.6","","0.06%"
"10/19/2012","8,324.1","8,424.0","8,424.0","8,301.1","","-1.41%"
"10/18/2012","8,442.8","8,427.8","8,470.7","8,417.9","","-0.04%"
"10/17/2012","8,446.5","8,401.0","8,453.0","8,393.9","","0.72%"
"10/16/2012","8,386.5","8,293.5","8,389.5","8,293.5","","1.12%"
"10/15/2012","8,293.5","8,244.6","8,298.2","8,221.2","","0.81%"
"10/12/2012","8,227.1","8,256.4","8,287.3","8,210.5","","-0.36%"
"10/11/2012","8,256.6","8,281.8","8,309.7","8,256.5","","0.33%"
"10/10/2012","8,229.2","8,271.8","8,282.8","8,215.8","","-0.60%"
"10/09/2012","8,279.1","8,347.7","8,361.9","8,278.1","","-0.96%"
"10/08/2012","8,359.1","8,348.0","8,368.7","8,337.4","","-0.30%"
"10/05/2012","8,384.1","8,410.7","8,442.8","8,361.8","","0.09%"
"10/04/2012","8,376.3","8,328.0","8,380.0","8,328.0","","0.95%"
"10/03/2012","8,297.5","8,300.3","8,320.6","8,261.1","","0.03%"
"10/02/2012","8,295.1","8,284.3","8,332.2","8,265.2","","0.13%"
"10/01/2012","8,284.4","8,276.1","8,352.4","8,266.7","","0.40%"
"09/28/2012","8,251.0","8,303.7","8,303.7","8,218.5","","-0.63%"
"09/27/2012","8,303.7","8,250.0","8,317.3","8,241.4","","1.00%"
"09/26/2012","8,221.3","8,252.9","8,254.5","8,201.2","","-0.65%"
"09/25/2012","8,274.8","8,376.7","8,396.3","8,274.8","","-0.98%"
"09/24/2012","8,356.6","8,341.9","8,378.9","8,331.5","","-0.25%"
"09/21/2012","8,377.5","8,411.6","8,421.2","8,375.7","","0.05%"
"09/20/2012","8,372.9","8,345.3","8,379.3","8,313.1","","-0.33%"
"09/19/2012","8,400.5","8,397.8","8,424.1","8,379.2","","0.16%"
"09/18/2012","8,387.4","8,388.5","8,404.8","8,369.3","","-0.26%"
"09/17/2012","8,409.0","8,442.5","8,455.6","8,393.2","","-0.59%"
"09/14/2012","8,458.9","8,442.1","8,515.6","8,437.9","","0.62%"
"09/13/2012","8,407.0","8,262.9","8,427.5","8,248.5","","1.69%"
"09/12/2012","8,267.3","8,272.1","8,286.3","8,247.2","","0.26%"
"09/11/2012","8,246.1","8,209.3","8,264.3","8,209.3","","0.66%"
"09/10/2012","8,192.4","8,221.7","8,242.7","8,191.9","","-0.51%"
"09/07/2012","8,234.5","8,191.8","8,234.5","8,191.8","","0.91%"
"09/06/2012","8,160.6","8,038.0","8,160.6","8,038.0","","2.11%"
"09/05/2012","7,992.0","8,001.1","8,016.5","7,975.6","","-0.13%"
"09/04/2012","8,002.3","8,012.9","8,024.1","7,960.9","","-0.16%"
"08/31/2012","8,014.9","8,013.0","8,048.0","7,970.8","","0.61%"
"08/30/2012","7,966.2","8,003.5","8,003.5","7,949.7","","-0.81%"
"08/29/2012","8,031.6","8,035.0","8,048.2","8,012.1","","-0.03%"
"08/28/2012","8,033.9","8,026.2","8,058.8","8,014.6","","-0.03%"
"08/27/2012","8,036.2","8,056.4","8,070.9","8,031.3","","-0.15%"
"08/24/2012","8,047.9","7,993.4","8,061.9","7,979.3","","0.46%"
"08/23/2012","8,011.4","8,063.8","8,063.8","8,001.6","","-0.78%"
"08/22/2012","8,074.2","8,061.2","8,086.6","8,030.4","","-0.11%"
"08/21/2012","8,082.7","8,117.0","8,160.4","8,070.3","","-0.14%"
"08/20/2012","8,094.3","8,088.6","8,096.7","8,058.9","","-0.10%"
"08/17/2012","8,102.1","8,099.0","8,104.5","8,079.4","","0.15%"
"08/16/2012","8,090.0","8,031.4","8,099.1","8,019.0","","0.76%"
"08/15/2012","8,029.0","8,009.1","8,039.5","8,003.1","","0.12%"
"08/14/2012","8,019.5","8,042.5","8,054.8","8,002.0","","0.01%"
"08/13/2012","8,018.6","8,035.3","8,039.4","7,985.5","","-0.33%"
"08/10/2012","8,044.8","7,994.2","8,045.6","7,973.6","","0.25%"
"08/09/2012","8,025.0","8,008.0","8,046.4","8,003.0","","0.08%"
"08/08/2012","8,018.2","7,989.7","8,033.4","7,984.9","","0.01%"
"08/07/2012","8,017.7","7,997.7","8,049.6","7,997.7","","0.67%"
"08/06/2012","7,964.1","7,958.4","7,997.4","7,958.4","","0.31%"
"08/03/2012","7,939.6","7,848.3","7,960.1","7,848.3","","2.24%"
"08/02/2012","7,765.6","7,791.5","7,823.9","7,710.8","","-0.96%"
"08/01/2012","7,840.8","7,891.3","7,898.1","7,839.7","","-0.29%"
"07/31/2012","7,863.9","7,894.7","7,917.4","7,863.2","","-0.60%"
"07/30/2012","7,911.1","7,898.0","7,939.1","7,885.9","","-0.01%"
"07/27/2012","7,912.2","7,793.0","7,933.0","7,793.0","","2.03%"
"07/26/2012","7,754.5","7,691.8","7,770.2","7,691.8","","1.93%"
"07/25/2012","7,607.6","7,618.1","7,639.3","7,569.0","","0.22%"
"07/24/2012","7,590.6","7,667.1","7,668.8","7,538.2","","-1.04%"
"07/23/2012","7,670.5","7,670.4","7,684.5","7,596.7","","-1.15%"
"07/20/2012","7,759.6","7,795.4","7,795.4","7,752.2","","-1.15%"
"07/19/2012","7,849.8","7,843.5","7,871.1","7,821.8","","0.24%"
"07/18/2012","7,831.1","7,768.5","7,846.2","7,760.1","","0.47%"
"07/17/2012","7,794.8","7,763.1","7,799.7","7,690.5","","0.67%"
"07/16/2012","7,743.0","7,741.6","7,759.5","7,705.7","","-0.20%"
"07/13/2012","7,758.7","7,654.0","7,764.7","7,654.0","","1.57%"
"07/12/2012","7,638.6","7,633.6","7,665.2","7,578.6","","-0.61%"
"07/11/2012","7,685.4","7,667.7","7,704.8","7,643.9","","0.23%"
"07/10/2012","7,667.6","7,753.7","7,786.5","7,638.3","","-0.89%"
"07/09/2012","7,736.3","7,742.0","7,747.1","7,700.0","","-0.26%"
"07/06/2012","7,756.6","7,768.6","7,768.6","7,723.0","","-1.04%"
"07/05/2012","7,837.8","7,855.1","7,869.2","7,809.4","","-0.81%"
"07/03/2012","7,901.7","7,838.7","7,905.8","7,834.8","","0.89%"
"07/02/2012","7,832.2","7,810.8","7,832.2","7,768.4","","0.39%"
"06/29/2012","7,801.8","7,730.0","7,801.8","7,730.0","","2.69%"
"06/28/2012","7,597.5","7,544.2","7,599.0","7,500.0","","-0.01%"
"06/27/2012","7,598.1","7,546.8","7,610.4","7,539.0","","0.94%"
"06/26/2012","7,527.1","7,502.5","7,548.5","7,464.2","","0.47%"
"06/25/2012","7,491.9","7,540.2","7,540.2","7,465.7","","-1.64%"
