Date,Price,Open,High,Low,Change
15/11/2012,"7,896.90","7,905.30","7,942.40","7,865.70",-0.08%
14/11/2012,"7,903.40","8,026.00","8,049.50","7,887.30",-1.49%
13/11/2012,"8,023.20","8,017.20","8,096.70","8,004.40",-0.38%
12/11/2012,"8,054.10","8,066.50","8,067.90","8,052.10",0.01%
09/11/2012,"8,053.60","8,021.00","8,111.10","8,014.10",0.03%
08/11/2012,"8,050.80","8,137.20","8,167.90","8,050.80",-1.08%
07/11/2012,"8,138.80","8,242.10","8,242.10","8,098.90",-2.09%
06/11/2012,"8,312.40","8,240.20","8,329.20","8,240.20",0.87%
05/11/2012,"8,240.30","8,217.60","8,250.60","8,197.20",0.07%
02/11/2012,"8,234.90","8,335.40","8,339.80","8,229.40",-0.92%
01/11/2012,"8,311.40","8,231.70","8,311.70","8,231.70",1.09%
31/10/2012,"8,221.40","8,190.20","8,252.80","8,185.50",0.38%
26/10/2012,"8,190.20","8,202.80","8,225.00","8,155.00",-0.26%
25/10/2012,"8,211.90","8,231.50","8,258.70","8,166.20",0.40%
24/10/2012,"8,179.30","8,219.90","8,237.40","8,169.10",-0.20%
23/10/2012,"8,195.30","8,252.90","8,252.90","8,152.80",-1.61%
22/10/2012,"8,329.20","8,320.80","8,345.40","8,266.60",0.06%
19/10/2012,"8,324.10","8,424.00","8,424.00","8,301.10",-1.41%
18/10/2012,"8,442.80","8,427.80","8,470.70","8,417.90",-0.04%
17/10/2012,"8,446.50","8,401.00","8,453.00","8,393.90",0.72%
16/10/2012,"8,386.50","8,293.50","8,389.50","8,293.50",1.12%
15/10/2012,"8,293.50","8,244.60","8,298.20","8,221.20",0.81%
12/10/2012,"8,227.10","8,256.40","8,287.30","8,210.50",-0.36%
11/10/2012,"8,256.60","8,281.80","8,309.70","8,256.50",0.33%
10/10/2012,"8,229.20","8,271.80","8,282.80","8,215.80",-0.60%
09/10/2012,"8,279.10","8,347.70","8,361.90","8,278.10",-0.96%
08/10/2012,"8,359.10","8,348.00","8,368.70","8,337.40",-0.30%
05/10/2012,"8,384.10","8,410.70","8,442.80","8,361.80",0.09%
04/10/2012,"8,376.30","8,328.00","8,380.00","8,328.00",0.95%
03/10/2012,"8,297.50","8,300.30","8,320.60","8,261.10",0.03%
02/10/2012,"8,295.10","8,284.30","8,332.20","8,265.20",0.13%
01/10/2012,"8,284.40","8,276.10","8,352.40","8,266.70",0.40%
28/09/2012,"8,251.00","8,303.70","8,303.70","8,218.50",-0.63%
27/09/2012,"8,303.70","8,250.00","8,317.30","8,241.40",1.00%
26/09/2012,"8,221.30","8,252.90","8,254.50","8,201.20",-0.65%
25/09/2012,"8,274.80","8,376.70","8,396.30","8,274.80",-0.98%
